movie,chapter,character,listener,dialog
Harry Potter and the Prisoner of Azkaban,Under Covers Prologue,Harry Potter,,Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Petunia Dursley,Harry Potter,"Harry! Harry! Harry, open the door! Marge! How lovely to see..."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,"Uncle Vernon, I need you to sign this form."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,What is it?
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,Nothing. School stuff.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,"Later perhaps, if you behave."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,I will if she does.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Harry Potter,"Oh, you're still here, are you?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Marge Dursley,Yes.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Harry Potter, Dudley Dursley","Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,Take Marge's suitcase upstairs!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,Okay.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Ripper,"Finish that off for Mommy. Good boy, Rippy-pooh."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Marge Dursley,"Can I tempt you, Marge?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Marge Dursley, Petunia Dursley, Ripper, Harry Potter","Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Marge Dursley,St. Brutus'. It's a fine institution for hopeless cases.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Harry Potter,"Do they use a cane at St. Brutus', boy?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Marge Dursley,"Oh, yeah. Yeah. I've been beaten loads of times."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Marge Dursley, Petunia Dursley, Harry Potter, Vernon Dursley, Dudley Dursley","Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Petunia Dursley,Marge Dursley,Nothing. He didn't work. He was unemployed.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Petunia Dursley,"And a drunk too, no doubt?"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Marge Dursley,That's a lie!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Harry Potter,What did you say?
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Marge Dursley,My dad wasn't a drunk!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Petunia Dursley,"Oh, don't worry Don't fuss, Petunia. I have a very firm grip."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,I think it's time you went to bed.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Marge Dursley, Petunia Dursley, Harry Potter, Vernon Dursley, Dudley Dursley","Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup."
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Marge Dursley,Shut up! Shut up!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Harry Potter, Vernon Dursley","Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,"Ripper, Marge Dursley","Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,Vernon Dursley,Don't you dare!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Marge Dursley,Sorry!
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Petunia Dursley,Vernon Dursley,"Oh, Vernon!"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,"Marge Dursley, Harry Potter","Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!"
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,No! She deserved what she got! Keep away from me.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,You're not allowed to do magic outside school.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,Yeah? Try me.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,Harry Potter,They won't let you back now. You've nowhere to go.
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,Vernon Dursley,I don't care. Anywhere's better than here.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Welcome to the Knight Bus... emergency transport for the stranded witch or wizard. My name is Stan Shunpike, and I will be your conductor for this evening. What you doing down there?"
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,I fell over.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,What you fall over for?
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,I didn't do it on purpose.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Well, come on, then. Let's not wait for the grass to grow. What you looking at?"
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,Nothing.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Well, come on, then. In. No, no, no. I'll get this. You get in. Come on. Come on. Move on, move on, move on."
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Ernie Prang,"Take her away, Ern."
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Shrunken head,Ernie Prang,"Yeah, take it away, Ernie. It's going to be a bumpy ride."
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,What did you say your name was again?
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,I didn't.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,Whereabouts are you headed?
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,The Leaky Cauldron. That's in London.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Ernie Prang,You heard that Ern? The Leaky Cauldron. That's in London.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Shrunken head,Harry Potter,The Leaky Cauldron. If you have pea soup... make sure you eat it before it eats you.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,But the Muggles. Can't they see us?
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Muggles? They don't see nothing, do they?"
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Shrunken head,"Stanley Shunpike, Ernie Prang","No, but if you jab them with a fork, they feel. Ernie, little old lady at 12 o'clock! Ten, nine, eight... seven, six, five... four, three, three and a half... two, one and three quarters. Yes!"
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,Who is that? That man.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Who is that? Who is...? That is Sirius Black, that is. Don't tell me you've never been hearing of Sirius Black. He's a murderer. Got himself locked up in Azkaban for it."
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,How did he escape?
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Stanley Shunpike,Harry Potter,"Well, that's the question, isn't it? He's the first one that done it. He was a big supporter of... You-Know-Who. I reckon you've heard of him."
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Stanley Shunpike,Yeah. Him I've heard of.
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Shrunken head,"Ernie Prang, Stanley Shunpike, Harry Potter","Ernie, two double-deckers at 12 o'clock. They're getting closer, Ernie. Ernie, they're right on top of us! Mind your head. Hey, guys? Guys? Why the long faces? Yeah, yeah. Nearly there. Nearly there. The Leaky Cauldron. Next stop, Knockturn Alley."
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Tom,Harry Potter,"Ah, Mr. Potter, at last."
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Stanley Shunpike,Ernie Prang,"Take it away, Ern."
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Shrunken head,Ernie Prang,"Yeah, take it away, Ernie!"
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Tom,,Room 11.
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Harry Potter,Hedwig,Hedwig.
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Tom,Harry Potter,"Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself."
