movie,chapter,character,listener,dialog
Harry Potter and the Chamber of Secrets,In a cage,Harry Potter,,"I can't let you out, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon・"
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,Harry Potter!
Harry Potter and the Chamber of Secrets,In a cage,Harry Potter,,Now you've done it.
Harry Potter and the Chamber of Secrets,In a cage,Petunia Dursley,Vernon Dursley,He's in there. Vernon・
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,"I'm warning you, if you can't control that bloody bird it'll have to go."
Harry Potter and the Chamber of Secrets,In a cage,Harry Potter,Vernon Dursley,But she's bored! If I could only let outonly let out for an hour or two.
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,"Huh, huh! So you could send secret messages to you freaky little friends. No, sir!"
Harry Potter and the Chamber of Secrets,In a cage,Harry Potter,Vernon Dursley,But I haven't had any messages from any of my friends・ not one・ all summer.
Harry Potter and the Chamber of Secrets,In a cage,Dudley Dursley,Harry Potter,Who'd want to be friends with you?
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,"I should think you'd be a little more grateful. We've raised you since you were a baby, given you the food off our table, even let you have Dudley's second bedroom, purely out of the goodness of our hearts."
Harry Potter and the Chamber of Secrets,In a cage,Petunia Dursley,Dudley Dursley,"Not now, Bopkins. For when the Masons arrive."
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Petunia Dursley,"Which should be any minute! Ahem・Now let's go over our schedule once again, shall we? Petunia when the Masons arrive you will be・?"
Harry Potter and the Chamber of Secrets,In a cage,Petunia Dursley,Vernon Dursley,"・in the lounge, waiting to welcome them graciously into our home."
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Dudley Dursley,"Good! And- and Dudley, you will be・?"
Harry Potter and the Chamber of Secrets,In a cage,Dudley Dursley,Vernon Dursley,I'll be waiting to open the door!
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,Excellent! ・And you・?
Harry Potter and the Chamber of Secrets,In a cage,Harry Potter,Vernon Dursley,"I'll be in my bedroom, making no noise and pretending that I don't exist."
Harry Potter and the Chamber of Secrets,In a cage,Vernon Dursley,Harry Potter,"Too right, you will. With any luck, this could well be the day I make the biggest deal of my career. And you will not mess it up!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,,Mr. and Mrs. Mason! Do come in!
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,Who are you?
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Dobby sir, Dobby the house elf."
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Not to be to be rude or anything, but this isn't a great time for me to have a house elf in my bedroom."
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Oh, oh yes, sir! Dobby understands! It's just that, Dobby has come to tell you- it is difficult, sir- Dobby wonders where to begin?"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,Why don't you sit down?
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"S-sit down? S-sit- sit down? Oh, oh, ho. Oh, ho, ho・ Oh, ho, ho. Ohh, ho, hoo・"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby, ssh! I'm sorry! I didn't mean to offend you, or anything."
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Offend Dobby? Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal."
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,You can't have met many decent wizards then.
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"No, I haven't. That was an awful thing to say. Bad Dobby!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Stop, Dobby!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,,Bad Dobby!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby, shh!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,,Baaad Dobby!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby, please stop!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,,"Ohh, don't mind that! It's just the cat."
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,,Bad Dobby. Bad Dobby!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Stop! Stop, Dobby. Please be quiet! Are you all right?"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Dobby had to punish himself, sir. Dobby almost spoke ill of his family, sir."
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,Your family?
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"The wizard family Dobby serves, sir. Dobby is bound to serve one family forever. If they ever knew Dobby was here・ooh・ But Dobby had to come. Dobby has to protect Harry Potter- to warn him. Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! There is a plot, a plot to make most terrible things happen."
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,What terrible things? Who's plotting them?
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,Ooo・ er・ can't・ say・ argh...
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,Ok? I- understand. You can't- say.
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Don't make me talk, I? Errr・"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby! Dobby, put the lamp down."
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,,Bad Dobby.
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,,So when they arrive at the ninth hole・
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,Give me the lamp! Dobby stop!
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,Let me go!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Get in there, and keep quiet!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,Harry Potter,What the devil are you doing up here?
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Vernon Dursley,I- I was just?
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,Harry Potter,You just ruined the punch line of my Japanese golfer joke!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Vernon Dursley,Sorry.
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,Harry Potter,"One more sound, and you'll wish you'd never been born, boy! And fix that door!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Yes, sir・ See why I've got to go back? I don't belong here. I belong in your world, at Hogwarts. It's the only place I've got friends!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,Friends who don't even write to Harry Potter?
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Well, I expect they've・ been- hang on- how do you know my friends haven't been writing to me?"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Harry Potter mustn't be angry with Dobby. Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir."
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Give me those, now!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,No! Ahh! Ooh・
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby, get back here!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,"Dobby, please, no!"
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,Harry Potter must say he's not going back to school!
Harry Potter and the Chamber of Secrets,Dobby's warning,Harry Potter,Dobby,I can't. Hogwarts is my home!
Harry Potter and the Chamber of Secrets,Dobby's warning,Dobby,Harry Potter,"Then, Dobby must do it, sir, for Harry Potter's own good."
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,,"・it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. And one plumber said ＾Look at all that water.￣ A-and the second plumber said, ＾Yes, and that's just the top of it!￣"
Harry Potter and the Chamber of Secrets,Dobby's warning,Vernon Dursley,,I'm so sorry! It's my nephew- he's very disturbed. Meeting strangers upsets him. That's why I kept him upstairs!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Harry Potter,You're never going back to that school. You're never going to see those freaky friends of yours again. Never!
Harry Potter and the Chamber of Secrets,Car rescue,Harry Potter,"Ron Weasley, Fred Weasley, George Weasley",Ron! Fred. George. What are you all doing here?
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Harry Potter,"Rescuing you, of course. Now, come on. Get your trunk!・"
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Harry Potter,You'd better stand back. Let's go!
Harry Potter and the Chamber of Secrets,Car rescue,Petunia Dursley,Vernon Dursley,Oh!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Harry Potter,"Now, what the hell's he doing? Potter!"
Harry Potter and the Chamber of Secrets,Car rescue,Dudley Dursley,Vernon Dursley,Dad! What's going on?
Harry Potter and the Chamber of Secrets,Car rescue,George Weasley,Fred Weasley,"Go, go, go, go!"
Harry Potter and the Chamber of Secrets,Car rescue,Dudley Dursley,Vernon Dursley,"Dad, hurry up!"
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Harry Potter,Come on.
Harry Potter and the Chamber of Secrets,Car rescue,Fred Weasley,Harry Potter,Come on.
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Harry Potter,"Come on, Harry! Hurry up!"
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Petunia Dursley,"Petunia, he's escaping!"
Harry Potter and the Chamber of Secrets,Car rescue,Harry Potter,,Ahh- ahh!
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Harry Potter,I've got you Harry!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Harry Potter,Come here!
Harry Potter and the Chamber of Secrets,Car rescue,Harry Potter,Vernon Dursley,Let go of me!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Harry Potter,"Oh no, boy! You and that bloody pigeon aren't going anywhere!"
Harry Potter and the Chamber of Secrets,Car rescue,Harry Potter,Vernon Dursley,Get off!
Harry Potter and the Chamber of Secrets,Car rescue,Ron Weasley,Fred Weasley,Drive!
Harry Potter and the Chamber of Secrets,Car rescue,Fred Weasley,Ron Weasley,Right.
Harry Potter and the Chamber of Secrets,Car rescue,George Weasley,Ron Weasley,Right!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,Harry Potter,No! No! No! No! Aaaah!
Harry Potter and the Chamber of Secrets,Car rescue,Petunia Dursley,,Aaah!
Harry Potter and the Chamber of Secrets,Car rescue,Dudley Dursley,,Aaah!
Harry Potter and the Chamber of Secrets,Car rescue,Dudley Dursley,Vernon Dursley,Dad!
Harry Potter and the Chamber of Secrets,Car rescue,Vernon Dursley,,Oh・ Damn.
Harry Potter and the Chamber of Secrets,The Burrow,Fred Weasley,"Harry Potter, Ron Weasley, George Weasley","Come on. Okay, come on. Shh! Shh! Ok, come on. Shh! Come on."
Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,George Weasley,Do you think it'd be all right if we had some of this?
Harry Potter and the Chamber of Secrets,The Burrow,George Weasley,Ron Weasley,"Yeah, Mum would never know."
Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,Harry Potter,"It's not much, but it's home."
Harry Potter and the Chamber of Secrets,The Burrow,Harry Potter,Ron Weasley,I think it's brilliant
Harry Potter and the Chamber of Secrets,The Burrow,Molly Weasley,"Ron Weasley, Fred Weasley, George Weasley","Where have you been? Harry, how wonderful to see you dear. Beds empty! No note! Car gone! You could have died! You could have been seen! Of course, I don't blame you, Harry dear."
Harry Potter and the Chamber of Secrets,The Burrow,Ron Weasley,Molly Weasley,"They were starving him, Mum. There were bars on his window!"
